Date,Argentina,Australia,Austria,Belgium,Brazil,Canada,China,Denmark,Finland,France,Germany,Greece,Hong Kong,India,Indonesia,Ireland,Israel,Italy,Japan,Korea,Mexico,Netherlands,New Zealand,Norway,Philippines,Portugal,Singapore,Spain,Sweden,Switzerland,Taiwan,Thailand,Turkey,United Kingdom,USA
1991-06-28,-0.08262,0.00921,-0.10871,-0.05905,-0.02526,-0.02673,,-0.01051,-0.12919,-0.0971,-0.09465,-0.13017,-0.00687,,-0.14837,-0.07859,,-0.09055,-0.07244,-0.01427,-0.05623,-0.06383,-0.05388,-0.10511,-0.06776,-0.06482,-0.03303,-0.09807,-0.03259,-0.09606,0.04667,-0.05459,-0.04191,-0.08729,-0.04837
1991-07-31,0.04625,0.05919,-0.00729,0.01845,0.09961,0.01383,,0.06926,0.07815,0.0414,0.0319,0.01454,0.09058,,-0.03627,0.11345,,0.00762,0.0304,0.25243,0.1355,0.05856,0.01004,0.05798,-0.02277,0.04935,0.0038,0.00859,0.04027,0.0595,-0.12822,-0.03143,-0.18289,0.11356,0.04414
1991-08-30,0.94811,-0.00993,-0.00215,-0.00498,-0.05857,0.00946,,-0.00056,-0.04909,0.06021,0.01128,0.0655,-0.00223,,-0.15216,-0.00462,,-0.03161,-0.05574,-0.07869,0.05449,-0.00841,-0.06524,0.03288,0.03744,-0.00202,-0.03991,0.0293,-0.01463,-0.00202,-0.10562,-0.02077,-0.00481,0.02264,0.02165
1991-09-30,0.14668,0.03471,0.03251,0.01211,-0.1474,-0.02816,,0.0327,-0.0813,0.05794,0.02024,-0.14807,-0.01716,,-0.24581,0.03472,,-0.00037,0.08678,0.03115,-0.02067,0.01988,0.0105,-0.02357,-0.11723,-0.00138,-0.01918,0.05808,-0.03112,0.0095,0.09171,-0.05061,-0.14958,0.03475,-0.01952
1991-10-31,0.2432,0.04882,-0.13604,0.0158,0.03129,0.04227,,-0.00977,-0.01919,-0.01715,-0.02455,0.02781,0.01206,,-0.05188,-0.02738,,-0.04304,0.04269,-0.04532,0.11498,0.00858,0.07284,-0.07648,0.10992,-0.06284,0.0256,-0.03091,-0.02586,-0.00322,-0.07695,-0.03993,-0.0958,-0.0283,0.01463
1991-11-29,-0.18275,-0.05277,0.09042,0.00826,-0.17452,-0.02697,,-0.02094,-0.05541,-0.02698,0.01434,0.01289,0.02534,,0.15052,-0.04451,,0.04922,-0.07112,-0.08405,0.01998,0.00181,0.00696,-0.15699,0.08962,-0.04736,0.02403,-0.05974,-0.0531,-0.01158,0.01261,0.06055,0.44693,-0.05032,-0.04299
1991-12-31,0.23592,-0.00018,0.01594,0.10849,0.5442,0.00123,,0.05835,-0.01694,0.08643,0.07141,0.04004,0.03312,,0.0084,0.08591,,0.04119,0.03107,-0.06583,0.03507,0.07106,-0.04007,0.13946,0.06354,0.08887,0.05968,0.06407,0.04868,0.07857,0.03218,0.08782,0.06668,0.08196,0.1115
1992-01-31,0.01097,-0.02981,0.02766,-0.00441,0.37568,0.01132,,-0.01368,0.09727,0.00161,0.00533,0.11024,0.08928,,0.17793,0.01187,,0.0241,-0.04687,0.08629,0.11176,-0.00462,-0.01753,0.01919,0.11348,-0.0769,0.02656,-0.00773,-0.00226,0.00626,0.19325,0.08533,0.00577,-0.01312,-0.0191
1992-02-28,-0.09717,0.00448,0.06355,-0.0035,-0.01343,-0.01021,,-0.05864,-0.01886,0.03886,0.02346,-0.04431,0.0791,,-0.04826,-0.04274,,-0.01592,-0.08405,-0.11658,0.1543,0.00015,0.03083,-0.09696,0.00595,-0.00239,-0.00472,0.03441,-0.02741,0.00554,-0.07409,0.00355,-0.28318,-0.01431,0.00895
1992-03-31,0.10732,0.0044,-0.05565,-0.02174,0.11173,-0.05691,,-0.07679,-0.09467,-0.01312,-0.02329,-0.07214,-0.00292,,-0.00961,-0.04156,,-0.05923,-0.10899,-0.07072,0.00655,-0.01797,-0.06152,0.06368,-0.04481,0.04911,-0.04032,-0.04885,0.04375,-0.01738,-0.05355,0.05806,0.02223,-0.05972,-0.02092
1992-04-30,0.12079,0.03277,-0.03966,0.01062,0.00268,-0.01555,,-0.00013,0.00126,0.05034,-0.00599,0.00208,0.07575,,0.00127,0.04295,,0.01015,-0.06221,0.03594,-0.04434,0.04268,0.0152,0.05286,0.10061,0.03124,0.01946,-0.02441,-0.0108,0.01062,-0.0503,-0.07466,-0.15996,0.11626,0.0267
